N,time
64500,39
64600,39
64700,39
64800,39
64900,39
65000,39
65100,39
65200,39
65300,39
65400,39
65500,39
65600,39
65700,39
65800,39
65900,39
66000,40
66100,41
66200,40
66300,41
66400,40
66500,40
66600,40
66700,40
66800,40
66900,40
67000,40
67100,40
67200,40
67300,40
67400,41
67500,40
67600,41
67700,41
67800,41
67900,41
68000,41
68100,41
68200,41
68300,41
68400,42
68500,42
68600,42
68700,41
68800,42
68900,42
69000,42
69100,42
69200,42
69300,42
69400,42
69500,42
69600,42
69700,42
69800,42
69900,42
70000,42
70100,43
70200,43
70300,43
70400,43
70500,43
70600,43
70700,43
70800,43
70900,43
71000,43
71100,43
71200,43
71300,43
71400,43
71500,43
71600,44
71700,44
71800,44
71900,44
72000,44
72100,44
72200,44
72300,44
72400,44
72500,44
72600,44
72700,42
72800,46
72900,45
73000,44
73100,43
73200,42
73300,42
73400,42
73500,42
73600,42
73700,46
73800,42
73900,43
74000,42
74100,42
74200,42
74300,42
74400,43
74500,42
74600,43
74700,43
74800,43
74900,43
75000,43
75100,43
75200,43
75300,44
75400,43
75500,44
75600,44
75700,44
75800,44
75900,44
76000,44
76100,43
76200,43
76300,43
76400,43
76500,43
76600,44
76700,45
76800,44
76900,44
77000,44
77100,45
77200,44
77300,44
77400,44
77500,44
77600,44
77700,44
77800,45
77900,45
78000,45
78100,44
78200,44
78300,45
78400,45
78500,45
78600,45
78700,45
78800,45
78900,45
79000,45
79100,45
79200,45
79300,45
79400,45
79500,45
79600,45
79700,45
79800,45
79900,45
80000,46
80100,46
80200,46
80300,46
80400,46
80500,46
80600,46
80700,46
80800,46
80900,46
81000,46
81100,46
81200,46
81300,46
81400,46
81500,47
81600,47
81700,47
81800,47
81900,47
82000,47
82100,47
82200,48
82300,47
82400,47
82500,47
82600,47
82700,47
82800,47
82900,47
83000,47
83100,47
83200,48
83300,49
83400,51
83500,51
83600,51
83700,51
83800,51
83900,51
84000,51
84100,51
84200,51
84300,51
84400,51
84500,51
84600,51
84700,51
84800,51
84900,52
85000,52
85100,52
85200,52
85300,52
85400,54
85500,54
85600,54
85700,51
85800,49
85900,49
86000,49
86100,49
86200,49
86300,49
86400,50
86500,50
86600,51
86700,50
86800,50
86900,50
87000,50
87100,50
87200,50
87300,50
87400,50
87500,50
87600,50
87700,51
87800,54
87900,54
88000,55
88100,55
88200,54
88300,54
88400,55
88500,55
88600,55
88700,53
88800,52
88900,51
89000,52
89100,52
89200,51
89300,51
89400,51
89500,52
89600,51
89700,52
89800,52
89900,53
90000,52
90100,52
90200,53
90300,52
90400,52
90500,52
90600,53
90700,53
90800,53
90900,53
91000,54
91100,53
91200,52
91300,53
91400,53
91500,53
91600,53
91700,62
91800,56
91900,54
92000,53
92100,53
92200,53
92300,54
92400,55
92500,54
92600,53
92700,53
92800,54
92900,53
93000,54
93100,53
93200,54
93300,54
93400,56
93500,55
93600,59
93700,61
93800,59
93900,58
94000,58
94100,58
94200,58
94300,56
94400,55
94500,54
94600,55
94700,55
94800,55
94900,55
95000,55
95100,55
95200,55
95300,55
95400,55
95500,55
95600,55
95700,55
95800,55
95900,55
96000,55
96100,55
96200,55
96300,55
96400,56
96500,56
96600,56
96700,56
96800,56
96900,56
97000,56
97100,56
97200,56
97300,56
97400,56
97500,56
97600,56
97700,56
97800,56
97900,56
98000,57
98100,56
98200,57
98300,57
98400,57
98500,57
98600,57
98700,57
98800,57
98900,57
99000,57
99100,57
99200,58
99300,58
99400,58
99500,57
99600,57
99700,57
99800,57
99900,58
