N,time
64500,38
64600,39
64700,39
64800,39
64900,39
65000,39
65100,39
65200,39
65300,39
65400,39
65500,39
65600,39
65700,39
65800,39
65900,39
66000,39
66100,39
66200,40
66300,40
66400,40
66500,40
66600,40
66700,40
66800,40
66900,40
67000,40
67100,40
67200,40
67300,40
67400,40
67500,41
67600,41
67700,41
67800,41
67900,41
68000,41
68100,41
68200,41
68300,41
68400,41
68500,41
68600,41
68700,41
68800,42
68900,42
69000,42
69100,42
69200,42
69300,42
69400,42
69500,42
69600,42
69700,42
69800,42
69900,42
70000,42
70100,42
70200,42
70300,42
70400,43
70500,43
70600,43
70700,43
70800,43
70900,43
71000,43
71100,43
71200,43
71300,43
71400,43
71500,43
71600,43
71700,43
71800,44
71900,44
72000,44
72100,44
72200,44
72300,44
72400,44
72500,44
72600,45
72700,44
72800,44
72900,44
73000,44
73100,45
73200,45
73300,45
73400,45
73500,45
73600,45
73700,45
73800,45
73900,45
74000,45
74100,45
74200,45
74300,45
74400,45
74500,45
74600,45
74700,45
74800,46
74900,46
75000,46
75100,46
75200,46
75300,46
75400,46
75500,46
75600,46
75700,46
75800,46
75900,46
76000,46
76100,46
76200,46
76300,46
76400,47
76500,47
76600,47
76700,47
76800,47
76900,47
77000,47
77100,47
77200,47
77300,47
77400,47
77500,47
77600,47
77700,48
77800,48
77900,48
78000,48
78100,48
78200,48
78300,48
78400,48
78500,48
78600,48
78700,48
78800,48
78900,48
79000,48
79100,48
79200,48
79300,48
79400,49
79500,49
79600,49
79700,49
79800,49
79900,49
80000,49
80100,49
80200,49
80300,49
80400,49
80500,49
80600,49
80700,49
80800,49
80900,50
81000,49
81100,50
81200,50
81300,50
81400,50
81500,50
81600,50
81700,50
81800,50
81900,50
82000,50
82100,50
82200,50
82300,50
82400,50
82500,50
82600,50
82700,50
82800,51
82900,51
83000,51
83100,51
83200,51
83300,51
83400,51
83500,51
83600,51
83700,51
83800,51
83900,51
84000,51
84100,51
84200,51
84300,51
84400,52
84500,52
84600,52
84700,52
84800,52
84900,52
85000,52
85100,52
85200,52
85300,52
85400,52
85500,52
85600,52
85700,52
85800,53
85900,53
86000,53
86100,53
86200,51
86300,50
86400,51
86500,53
86600,53
86700,53
86800,53
86900,50
87000,50
87100,50
87200,50
87300,50
87400,50
87500,50
87600,50
87700,50
87800,50
87900,50
88000,50
88100,50
88200,51
88300,51
88400,52
88500,52
88600,51
88700,54
88800,55
88900,55
89000,55
89100,54
89200,54
89300,54
89400,54
89500,54
89600,55
89700,54
89800,55
89900,55
90000,55
90100,55
90200,55
90300,55
90400,55
90500,55
90600,55
90700,56
90800,55
90900,56
91000,55
91100,54
91200,52
91300,52
91400,52
91500,53
91600,53
91700,53
91800,53
91900,53
92000,53
92100,53
92200,53
92300,53
92400,53
92500,54
92600,53
92700,53
92800,53
92900,53
93000,54
93100,53
93200,54
93300,53
93400,54
93500,54
93600,54
93700,54
93800,54
93900,54
94000,54
94100,54
94200,54
94300,54
94400,54
94500,54
94600,54
94700,54
94800,55
94900,55
95000,55
95100,55
95200,55
95300,55
95400,55
95500,55
95600,55
95700,55
95800,55
95900,55
96000,55
96100,55
96200,55
96300,55
96400,55
96500,55
96600,56
96700,56
96800,56
96900,56
97000,56
97100,56
97200,56
97300,56
97400,56
97500,56
97600,56
97700,56
97800,56
97900,56
98000,56
98100,57
98200,57
98300,57
98400,57
98500,57
98600,57
98700,57
98800,57
98900,57
99000,57
99100,57
99200,57
99300,57
99400,57
99500,57
99600,57
99700,57
99800,57
99900,57
